rating,title,review,country,date
4,Not bad for the price,Perfect for kids who do not like to wear mask!,US,2021-02-04
4,Super soft,Super soft. Kids 5 and 6 love them,US,2021-01-09
3,Big for a toddler,Big for an almost 3 year old. The mask kept touching her eyes and she didn't want to wear them. Such a bummer because the designs are so cute!!!,US,2020-12-17
5,"Sturdy, good protection, thicher than regular masks.","Great masks, three layer and pretty. Feel a bit more stuffy than the regular surgical one, but ot is more sturdy too.",US,2020-12-12
5,Perfect face 😷,They are so soft and comfortable for the kids,US,2021-01-28
2,No protection due to gaps on side but thick.,No protection from Covid due to a faulty design but nicely made.,US,2020-10-11
1,Ear Strap Issues,Nice big mask. However half if them broke while putting them on the first time. Ear strap is not put on well.,US,2021-01-27
5,Glasses are not fogging!,These masks are very comfortable and the first ones I have used where my glasses didn't fog up.,US,2021-02-02
5,Great,Conformable,US,2020-11-11
5,They fit my 6 yr old and 11 year old perfect!,My grandsons love these masks!,US,2020-12-04
2,"Cute, but break easily",I love the design but am so sad because every single one of them has broken halfway through my work day :(,US,2021-01-21
1,Useless,"The mask itself is nice, but they are pretty much useless cause they break within minutes.",US,2021-01-06
5,Excellent masks,Excellent masks,US,2021-02-04
5,Excellent,Good,US,2021-01-20
4,I got masks for kids in error too.,I read great things about these 4 layer masks but I too received masks for kids. Looks like the replacements are already on the way. Thanks!,US,2020-11-12
5,Comfortable face mask one of the best I ever had. Will buy again.,Very comfortable facemaskComfortable space math,US,2021-01-28
1,Absolutely Terrible,Every single one I opened broke. Quality is beyond horrible. Amazon where is the quality control???,US,2020-12-29
4,Not bad,I would buy this again,US,2020-12-31
5,Excelente producto,Super cómodas,US,2020-12-16
5,Great fit,"I love these masks! Not too heavy, and they keep me protected all day. Fit perfect!",US,2021-01-26
3,Incompleto,Decía 50 y le faltaron 30 solo había 2 paquetes de 10 vino incompleto,US,2020-12-20
5,Grate,Is a good product.,US,2021-02-01
5,Great mask 😷,"Your browser does not support HTML5 video.
 My girls love the mask,we just found 3 mask without there strap.",US,2021-01-13
1,Face masks,These masks are very CHEAP!! The elastic on them is not glued on well at all. They keep coming apart. I’m tired of gluing!,US,2021-01-21
5,Buy them!,"Super lightweight, comfy and fashionable",US,2021-01-30
2,The fibers are hard inside,It's very itchy and leaves scratch marks from fibers,US,2020-11-08
2,Half of these are broken,"These would be great, however at least half, if not more, have had the ear strap break as soon as it was put on",US,2020-10-14
5,Perfect,I basically feel like I'm in a luxury mask with enhanced protection. Worth every dollar.,US,2020-12-03
5,Great masks for kids,"My boys loved these masks. They are soft, comfortable & stylish.",US,2021-01-26
5,Recomendadas,Muy lindas y buena calidad,US,2020-12-21
5,Wrong description,When I received the disposable mask they were Only 3 Ply! In the description it says 4 Ply so be careful.,US,2021-01-30
5,Nice quality,Comfortable attractive does NOT smell like China,US,2020-11-20
5,Nice but a little large,A little large for my face.,US,2020-12-17
4,More testing,Ear loops break loose from mask after short use,US,2021-01-18
4,Fits well,The mask are breathable and fit well. Good disposable mask.,US,2021-01-21
1,3 ply,This product is three ply. I took pic but doesn’t let me upload,US,2020-12-15
5,Great product,Was a good product will buy again,US,2021-02-02
5,Awesome,"Very satisfied with my item!

And again, thank you to the delivery guy who hid my envelope behind the white Pilar on my porch!!",US,2020-09-29
5,Great for sports. Light weight,Nice print. Good fit,US,2021-01-11
5,"Great mask, comfort and safety","Fit great, nice look ,no string breakage.",US,2020-11-16
1,Terrible,"The box was all ripped, the fibers inside the mask came out while trying to breathe , not a good product at all",US,2020-12-22
5,that it was packed up,"I liked that it was packed up and packaged wasn't torn,, I like it",US,2020-12-18
5,Great,They fit the entire family,US,2021-01-16
5,Great mask,Love the 4-ply level that these mask provide,US,2020-12-11
5,She loved,My daughter loved,US,2020-12-13
5,Cute and comfortable,"My boys love this masks, they are cute and very comfortable, thick enough for protection but breathable.",US,2021-01-20
2,Horrible,Horrible earloops didn't stay on kept falling off never buy again,US,2020-12-15
5,Perfect,Perfect fit and comfortable. There are no complaints from a very active 6yr old boy.,US,2020-11-18
1,Made us breakout !!,These masks made me and my son breakout all over our chin,US,2020-11-15
2,Cheap Mask,I’ve had at least 6 or 7 mask strings break on me in 2 days. Very poor in that regard.,US,2021-01-27
5,Comfortable,Fits my 7yr old daughter perfectly.,US,2020-12-19
5,The comfort size and appearance are great,The comfort size and appearance are great and it's a good amount of disposable masks,US,2020-11-04
1,Don’t buy,I went through 5 masks in one day the straps break very easily. Total waste of money,US,2021-01-09
4,Good,The mask itself is good but it is big and several in the packet were missing the band on one side.,US,2021-01-12
5,Great Purchase,The most comfortable face masks. I can leave it on all day at work and it doesn't bother me at all.,US,2020-12-10
5,Great madk,Love how light and comfortable they are,US,2021-01-17
5,Soft and comfortable,"Fits well, lightweight and durable! Perfect for my daily wear.",US,2020-11-30
5,comfortable and good value,These seem pretty comfortable--my kids dont tug and mess with these like they do with some others. A solid product.,US,2020-09-27
5,good product,comfortable,US,2020-12-25
5,Great buy,Fits my son perfectly and matches with everything he wears.,US,2020-12-18
5,Best mask,Better then the blue mask and a little thicker. Love the mask!,US,2021-01-06
5,excelente,excelente,US,2021-01-11
5,Durable and well made,Fast shipping. Came as described. Very durable and adjust perfectly to kids face.,US,2020-12-10
5,Great for men or people with larger faces!,Great for men who want a larger face mask.. and with color.!,US,2020-12-21
2,Not reliable Masks,"Loops are Bad, not sticked properly, have to throw half of them.... can’t trust on them.",US,2021-01-15
4,Would buy again.,Nice mask for the money.,US,2020-10-21
5,Perfect!,These are so cute!,US,2021-01-26
5,Great,A little big for toddlers and children ages 3-7 but other than that it works fantastic,US,2021-02-03
5,Perfect,Lightweight they stretch comfy in ears all around perfect,US,2021-01-17
1,Too big!!,They were way too big for my 5 y/o to wear.,US,2021-01-31
2,Runs big,Product runs big,US,2021-01-19
1,Waste of money,Fell apart,US,2020-12-03
5,Nice,It was just as stated and the order came fast!,US,2020-10-18
5,Rapidez,Muy cómodos y buena calidad son gruesas,US,2021-01-22
5,Awesome!,So soft! Wear them for 10+ hours a day. Will definitely buy again,US,2020-12-18
5,Super nice,Very comfortable,US,2020-12-04
5,Good quality,Better than the ones found at major chain stores and pharmacies. Worth the price.,US,2020-10-16
5,Cute,Nice and fun masks. My kids like them.,US,2020-12-13
2,Ear loops breaks easily.,The product is not made to last. THE LOOP FOR THE EARS GET EASILY BROKEN.,US,2021-01-09
1,Bad quality,Is too weak and tears very easy,US,2021-01-10
5,Good,These are great. They don’t hurt my ears like other masks.,US,2021-01-11
5,Comfortable and a great color,I love these masks !! Definitely satisfied!!,US,2021-01-12
1,Too big. Sheds in eyes and face.,Too large for kids .,US,2021-01-20
5,Individual wrapped . 4 layer mask,Great mask totally worth buy !,US,2021-01-15
3,Buy at your own risk.,The masked were perfect except half of them only came with one loop.,US,2021-01-22
2,Did not fit well,These did not fit my kids well at all. They were far too big and my children are 6 and 9.,US,2020-10-02
5,Functional fashion,Very comfortable!,US,2020-12-06
5,Good fit,Comfy and light,US,2020-10-20
1,Wrong mask,"They were kid mask, it was suppose to be adult mask",US,2021-01-09
5,Great product!,These are very well made and fit perfectly on my 8 & 11 year old!,US,2020-12-21
5,Love them,Love these xmas masks!,US,2020-12-17
5,Doesn’t fall off,"My son loves them, even comfortable in pe and on the playground",US,2021-01-05
5,Good mask,Very good product,US,2020-09-29
1,Defective,Many masks are missing left side ear loops. Sending back.,US,2020-11-24
5,Que los niños se sienten comodas,Me gusta por ligera,US,2021-02-03
5,Good value,Good product. Each mask individually wrapped.,US,2021-01-17
1,Bad quality,Bad quality. They keep snaping from the lower left corner.,US,2020-12-30
5,great for small adults!,fits perfectly for small women! very comfortable and light,US,2021-01-13
5,100%recomnedada,Muy cómodas me encantan !!,US,2020-11-18
2,"Wear this mask the face ,nose very itch. We try two days,so stop use any more","Don’t like it,",US,2021-01-25
5,Comodidad,Mis hijos muy cómodos con sus mascarillas,US,2021-01-22
1,Quality is poor,Elastic band is not strong,US,2021-01-11
1,Disappointed,Bad quality,US,2020-12-26
5,Perfect style,Fit perfect,US,2020-12-05
3,Good value,Has a lavender scent that Santa mentioned in description,US,2020-12-16
5,Love the mask!,The black mask is nicer the standard blue.,US,2020-12-19
5,Nice,Good value,US,2020-12-31
5,Comfortable,Very comfortable,US,2020-12-04
5,mask,Great fit and comfort,US,2021-01-17
1,Size very small,For very small faces (toddlers?),US,2020-11-09
4,Que es buena calidad,Todo es como lo esperaba,US,2020-10-16
1,Worse,Don’t buy these those are horrible dissatisfied,US,2020-12-19
5,Buy them,Good,US,2020-12-19
4,Thank you,Wearing a mask,US,2021-01-16
5,Best Value,Great product!,US,2021-02-03
5,Personal use,Substitute mask not to always wear my n95,US,2021-01-31
5,Comfort,Very comfortable and pretty,US,2021-02-02
1,Nada,No ressistentes muy mal producto. Sorry?,US,2021-01-13
5,Great fit and color,Fit my small teenager really well,US,2020-10-01
5,Good,Very cute,US,2021-01-23
2,Black Face mask,Leaves black dye on face.. terrible.,US,2020-12-27
3,I am a fit very comfortable very pleased,I am a fit very comfortable very pleased,US,2020-12-11
5,comfort,packaging,US,2020-10-27
3,Not for small children,To loose on the face for children.,US,2021-01-06
5,Comfort wear,I truly liked my comfortable masks.,US,2020-12-22
5,exactly as described,everyday school use,US,2021-01-11
5,I have bought this item twice,Well made and fits good great value,US,2020-12-14
3,Buena Calidad pero bastante grandes para mi,Son muy muy muy grandes,US,2020-12-02
1,Break easliy,Break to easily,US,2021-01-10
1,Not right size,Teen too small,US,2021-01-12
5,Love it,Super comfortable!,US,2020-12-10
5,Very good mask,I love that it has 4 layers.,US,2020-10-15
5,Good material,Perfect for kids,US,2020-12-01
2,Not sturdy,They break extremely easy.,US,2020-12-05
5,Safety,Very comfortable.,US,2021-01-17
5,protection,love it,US,2020-12-16
4,too big,A little too big for me but it’s breathable.,US,2020-10-07
5,Excellent Item,Excellent Item,US,2020-12-27
5,Great Mask for Kids,Comfortable.,US,2021-01-21
3,Like,Strong smell,US,2021-01-01
5,Great design!!,Great quality!!,US,2020-12-16
5,Good product,Yes,US,2020-12-03
5,Very comfortable,Nothing,US,2021-02-04
5,Best mask,Great mask,US,2020-10-17
5,Will buy again,"Comfort, thickness",US,2020-11-06
5,Great quality,My daughter loves them,US,2020-10-11
5,MASKS,VERY NICE MASKS,US,2020-11-06
5,It fits great for children.,Great.,US,2020-12-17
5,Son comodas,Agradable,US,2020-11-20
4,A Formal Designed Disposable Face Mask That Fits Most Adults And Protects Against Air Particles,"# My Review
This review is for a 50 Pack of Formal Designer Disposable Face Masks For Adults by Viva Naturals. Looking for a mask that provides the perfect fit, protection, comfort, has been hit or miss with so many to choose from. That said, I was skeptical on this offering as it appears that others have reported issues; however, I’ve tried these and haven’t experienced the same - they worked fine for me!

First of all, these disposable face masks are packaged in a Viva Naturals branded box that describes the product details, contents, directions of use, etc. Inside the box are 5 packs of individually wrapped bags with 10 disposable face masks in each.

The formal design style is a navy-colored face mask with a broken line pattern. These face masks provide 3 layers of protection; there’s an outer non-woven polyester cloth, a middle non-woven melt blown cloth, and an inner non-woven cloth. I wasn’t sure what a melt blown cloth was; however, doing some research found out that it’s a non-woven sheet made of special ultra-fine fibers that are developed using a specialized process to provide enhanced level of protection from even the smallest particles present in the air like dust, bacteria and other allergens. I’m happy to see that there’s a barrier against air-borne particles from getting through. One thing to mention is that the product description does say it’s non-medical. The mask provides a comfortable fit around the nose and mouth area and is wide enough for good coverage. The nose strip works as expected and binds well over the nose to provide a secure fit. The ear loops are elastic that pull over the ears and allow for a decent fit around the face that doesn’t feel tight or restrictive. I did a pull test and stretched out the ear loops with a lot of force and pressure and the loops remained intact and didn’t come apart.

Overall, the comfort, fit and coverage of these face masks are good. These are worth a try.

** Thanks for reading my review! If you liked the review and found it informative, then please click on the “[Helpful]” button so it lets me know to continue providing these unbiased and in-depth reviews and photos. Thanks. **

# Please Note:
This review is written in good faith and for general information purposes only.

You are reading and using the information detailed in this review at your own risk. This review is based on my opinion and you should determine whether this product is right for your purposes using your own research and conclusions.

Do not take any of the information presented here as professional advice, it is purely based on personal opinion. I do not make any warranties about the completeness, reliability and accuracy of this information. Any action you take upon the information in this review, is strictly at your own risk and free will.",US,2020-12-27
5,Better Than Average As Single Use Non-Medical Masks Go,"Review of Cool Face Masks for Men (50 Pack) - 3-Ply Mens Face Mask, Premium Designer Navy Blue Face Mask for Men with Comfortable Earloops & Adjustable Nose Strip sold by Viva Naturals.

Have never noted an expiration date on non-medical masks before but this listed both production date and an expiration date approximately 21 months from date of receipt.

Reviews for various sizes and colors are mixed together. I received the Designer Navy Blue adult sized mask. The color should not impact function but the size does.

The dimensions shown in the seller’s images are accurate (6.9 x 3.7 inches or 17.5 x 9.5 cm). For US adult males the height (nose to chin) may be a bit short and the mask may therefore ride or shift when talking or performing any strenuous activity

The masks that I received had the pleats properly orientated but I also noted that perhaps 50% of the seller’s images for color show the pleats in the wrong direction. Having the pleats face downward greatly reduces the mask riding upwards as the jaw moves up and down.

The masks were packaged 10 masks per plastic envelop. This is great as it helps avoid spilling masks out, allows storage of a small “emergency” supply in a vehicle and keeps any dust, etc., from accumulating.

The nose bridge is just a thin wire but works well enough especially considering that these are intended for single use. It may take some work to get the bends just right but these seem to fit well enough with glasses.

The ear loops are the common elastic type fabric and do have one of the adjusting collars but that is expected for single use masks. The elastic cord is acceptable in terms of comfort.

Overall, these are pretty good as single use masks go.

I did cut into one mask after use and verified that there are three layers. I am not expert enough to verify the materials but the middle layer does look and feel like melt-blown polypropylene and the outer and inner layers are listed as non-woven polyester and non-woven polypropylene, respectively.",US,2020-12-20
5,Really well made and comfortable!,"Cool Face Masks for Men (50 Pack) - 3-Ply Men's Face Mask, Premium Designer Navy Blue Face Mask for Men with Comfortable Earloops & Adjustable Nose Strip

This is tied with one other disposable mask I have tried for my favorites. I love getting away from the standard blue/white masks. These are so much more comfortable than those and the mask part feels a little thicker with these. I do like that these are the perfect in-between size where anyone in my house can use them. I have a large head and many of the masks are too small for me, these fit me well but aren't huge so my roommates or even my niece can use them.

Pros-
Good size. Able to fit on me when most masks are too small, but not so big that others in my house can't use them.

Love the color/design. They don't stand out but at the same time, they look good compared to the standard medical grade disposable ones.

Good price for the quality and quantity.

I also like how they seal in separate bundles so you can give a

The mask part feels well made with several distinguishable layers.

Cons-
Really none, If I were to be a little picky the box they come in is a little cheap looking but that's really not important at all.

Overall this is a great listing. Affordable, good quality, great fit/look. I would definitely reorder these and at this point, you really can't ever have too many masks. This is a great choice if you have a family where you need ones that for the most part will fit everyone in the house. With children, these may still be a bit too large especially for the younger ones but overall these are a nice in the middle size that will work for most people.

The label as this being a listing for men doesn't quite make sense to me. These in no way strike me as gender-specific. I actually find these very much gender-neutral.",US,2020-12-30
3,Love the masks but the elastic ear straps break easily.,"I got the blue with white design called Formal Designer. The masks come wrapped packs of five sets of 10 masks each which I like to keep them free of germs and allergens until they are opened. The box was a hot mess, falling apart, so I ditched that and put the masks in a big Ziploc bag.

They are very nice looking and fit even larger faces well. The nose wire is thin but works to hold the mask securely and I think they look really nice. I can breathe well when I wear this mask which I cant do with some others I own. I was ready to rate higher but my son, who took 10 to wear, said that two of his masks popped and broke when they were on his face. He has an average sized head and face and is careful when putting masks on. The elastic just popped and left him unprotected. My husband also likes these but today, he went to put one on and the elastic broke when he went to hook it over his ear. Not cool.

Everything else about these seems to be really good but we are wasting masks because the elastic straps aren't secure. It's also alarming that they would pop and break while on someone's face because that leaves that person vulnerable to bacteria and germs (both giving and receiving) and, if they don't have a spare with them, without a mask to wear. Better quality control on the elastic ear loops is needed. Otherwise, these masks are good for men and women.",US,2020-12-02
2,Smelly and runs a bit large,"Unfortunately I won't be wearing these as they smell pretty awful which is a shame as I really like the design. Maybe if they are left outside their bag for some time the smell will go away, I'll need to give it a go but its a bit disappointing.

There are a few more issues, for me at least. they run a bit large so people with smaller face won't be able to use it. Ear loops connection to the mask seems to be prune to failure and they suggest that you can knot the ear loops to adjust the size but I found it made it to tight of a fit more me.

Overall, It could have worked, even with the ear loops and specially with the design but I just couldn't;t get over the smell...",US,2020-12-02
5,"Super Thick, Soft, Breathable- Excellent Disposable Face Mask","These face masks by Viva Naturals are probably the nicest disposable face masks I have ordered off Amazon. Read the website for all their specific details. I’ll just highlight my experience.

They are thick yet breathable- much thicker than other disposables I have used. It says there are three layers. It feels soft, most particularly the outer layer. I like the navy blue color, and the white dotted line pattern is interesting. The ear loops are stretchy and comfortable. The nose piece bends perfectly and keeps its shape- my glasses don’t get fogged up like with some that don’t bend well at the nose.

I’m just really happy with the way they fit and feel. They look well made and I just don’t have any complaints. At the current price of $8.49 for 50 masks, I think this is great value, especially considering the quality. Another nice touch is that they don’t just come in a box, but are also sealed in plastic in sets of 10.

I don’t really understand why they say these are for men; they seem neutral in my opinion.

I would definitely recommend these for others to use. I hope my review was helpful in some way, and if so, I would love to know- thanks!",US,2020-12-26
4,Great masks!,"These earlooped face masks in Blue with a white design *Formal Designer) are very comfortable. I love that they feature a metal nose strip - while it is pretty thin it still works well enough to mould the mask over your nose bridge. I use these when I am working outside in the garden, cleaning my house, working on restoring furniture and when on pooper scooper duty in the yard. I am able to breath easily when wearing the 3-ply mask - of course there is always humidity and moisture when wearing a mask but I did not find this to be worse than other masks I normally wear. The loops are soft and very sturdy as my three year old was able to wear one (with the loops tied a bit tighter) for about an hour on and off and such before it broke. The loops are comfortable and I have not had any issues with them causing discomfort or pain on my ear. The nose bridge is pretty wide and easy to adjust or readjust if need be.

These also work well for when going grocery shopping or having to be out in public.

Remember the white part goes inside by your face.

These are great masks and I am so happy to have found a brand that sells both kids/adult sizes in multiple color combinations at a very fair price.",US,2020-12-02
5,An Upgrade To The Normal Disposable Mask,"What's not to love about these mask. First with everyone having to wear these daily, why not make wearing them as much fun as possible. I mean I understand the reason we are wearing them isn't pleasant or fun but when kids break there arm people decorate the cast. So why shouldn't we try and make wearing these masks as fun and as safe as possible. So lets talk about safety. The masks have 3 layers instead of 2 which is great. They have the bendable nose piece so you get a good fit around your face. As for comfort the ear straps are extremely soft and really stretchy. So they are soft to wear around your ears even for long periods of time.
I also really that they don't put all 50 in one sealed bag. Having them in several bags really makes it easy to keep the extras clean and sanitary. I have actually had several people ask me where I got the masks since I have been wearing them. I think many people are getting sick of wearing the standard doctor looking ones as this pandemic lingers on. Overall they are perfect for our needs and they look great too!",US,2020-12-03
4,Nice but small,"These are a nice upgrade - at least visually - from the throwaway surgical masks everyone seems to be wearing these days. They're stylish, with a pattern that's a little more elegant than the usual, and perfect for a man or a woman. It's a deep navy with white accents, and almost looks like a cloth mask. The benefit to these is that they're still easy to toss at the end of the day, but they've got a lot more personality than the traditional blue surgical masks.

Where these falter for me a little is the actual function. The ear strings are very small and much more likely to snap during the day. The actual masks are also on the smaller side, so they cover less of your face than some others. Whether that's a problem for you will depend on your face shape and size, etc. I can't vouch for the number of layers, but they don't seem to be any thicker than others I've used. So if you're looking for fashion more than function, these are a nice option, but I'd be wary of using them in a high risk situation.",US,2020-12-20
4,It's more stylish but still just a basic mask.,"It's a world of masks and this is part of that now. I got these because I was tired of just the plain light blue masks that was all around so I wanted something a little darker so it wasn't always such a clash against the rest of my outfit. This delivered on that.

The mask is 3-ply (I cut one open); it's the Outer layer, middle insert, and inner layer. Pleated to expand on your face and fit just like all the other standard surgical masks I have of the same style. The loops provide enough space even for my above average size head (big head) and didn't cause any unusual ache. I don't get to show off the design as much at this point since I also wear a cloth mask on top of these but I still like the look of them and when things clear up a bit I expect to get more of these for every day use. After what we went through I'm good with masking up in public all the time now.

So nothing special, a good alternative look to the normal, 3-ply basic level protection.",US,2021-02-04
4,"Nice fitting, nose piece. A little itchy","I am a swim coach and the kids are required to wear masks, or they are refused entry to the building and their practice. I have a couple kids who's parents are divorced or have other issues that cause the child to end up without a mask through no fault of their own. For those rare cases, I like to have an option for them that does not involve sitting outside until their parent returns or my spending an arm and a leg.
These are great disposable masks and per mask are cheaper than what I was able to buy locally.
Size wise these are right for 13 year olds through adult. The younger kids have a hard time keeping them on. Construction is good but these ARE disposable masks. The ear straps are nice, stretchy and comfortable. They are secure and do not pull out. The seams are strong and there is a metal nose piece to help mold around the nose and not allow glasses to fog. The mask is soft but a little itchy, especially around the chin.
Made in China. Expiration date was 8/31/2022",US,2020-12-06
4,"Thicker than most disposables, breathable and stylish. Definitely fits a man's face better.","I ordered these for my spouse and they definitely fit his face a little better than they fit mine. They're just a little too big for me. I like that they're three layers of non-woven with a melt blown in the middle. From what I gather, that is supposed to be a little bit safer. That your loops are comfortable and they fit him very well. The metal nose strip is definitely a little more hardy than other disposable masks that I've tried, as is the mask itself. It conforms very well to your nose and overall is comfortable. I am surprised that the breathability of this mask and honestly it's something that's a little less boring that my spouse is still comfortable with wearing. Oddly enough, he doesn't like plain. Overall, definitely good value as he wears these to work everyday now. I think we may end up ordering these again next month as he likes these better than the blue disposables provided by his work.",US,2020-12-09
5,"Excellent masks, thick but breathable and smell nice","I have tried several different models of these 3 layer / 4 layer breathable masks these past couple of months and these are by far the best we have had.
Although this is a 50 pack, but they come in 5 smaller packs of 10 each. You don't need to open the whole 50 at the same time.
I've done the candle blow test with them and they are really layered and safe.
The black color give it a cool look in my opinion.
The quality of the elastic band and the mask itself is very good.
The mask and band is designed toward really large faces and heads so if you have an average head, chances are this might be a bit big for you. What I did was to form a knot in the elastic band to make it a bit shorter.
And one last thing that's different from most other masks that I've tried is that these smell like a new car for some reason which I love!",US,2020-11-14
4,Not just for dudes,"I have the “Formal Designer” color option, in Adult size. I noticed some of the different color options have pleats going different ways, or some are aimed at men. The Formal Designer color is aimed at men, but really, the masks fit anyone.

The masks pass the candle test.

The masks are slightly softer on the outside printed layer than the white inner layer, but they are comfortable to wear and don’t irritate my skin. They have a slight chemical scent. The masks have adjustable nose wires and stretchy ear loops.

I like that the masks come bundled in packs of 10. There are 5 sealed bags inside the box, which is nice because that way you don’t get all the masks grubby when you’re pulling one out. The box can also double as a dispenser, it has a perforated top.

The masks were made in China.",US,2020-12-15
5,High quality and comfortable,"I ordered the Cool Face Masks for Men (50 Pack) in the ""formal designer"" colour, which arrived looking just like in the photos. Navy blue with some white designs on the masks. I think they're really attractive and if you're concerned about an understated non-medical look that will match a lot of outfits, this is for you. If you don't care what it looks like, it's also perfect for you. Great for any gender or age (with an adult-sized face.)

These masks are lightweight and comfortable to wear. There is a nose wire that allows me to customize the fit, and get a secure fit away from my eyes. The masks are easy to breathe through and talk through, and they filter out the allergens I'm concerned about. I definitely recommend these high quality masks.",US,2020-12-27
5,Disposable 3-ply Surgical Style Non-Medical Masks - Navy Blue Pattern 50 count,"These 3-ply non-medical surgical-style disposable masks have a distinctive color and pattern but offer the same basic protection of the plainer versions. The in-house adult male has an extra-large hat size head and these masks fit him perfectly. There is a piece of bendable metal in the top edge so the fit can be customized around the nose.

The ear loops use 1/8 inch elastic which because of the slim profile I find more comfortable to wear but that varies by individual. I was impressed that if pulled the elastic resist separating from the mask unlike that some that easily pull out. I cut open one mask to confirm that there are in fact 3 layers, and there are. The masks were manufactured in 2020 and they have an expiration date 2 years in the future. Excellent.",US,2020-12-03
5,Works as Well as Any Other Disposable Face Mask,"The Viva Naturals Men Face Masks are a good set of “one use” masks to have on hand should you forget your reusable one. I'm not sure why these masks are marketed specifically to men as they work just as well on women.
Perhaps is because of the color or design, but to be honest, I thought the masks looked pretty gender neutral. The masks are comfortable to wear, has a small metal band on top to ensure a secure fit across the bridge of your nose, and are thick but not so thick that it’s impossible to breathe. The ear loops seem to hold their stretch, even after several hours of use, and feel comfortable while on. Overall, these are a comfortable and attractive looking set of disposable masks to have on hand in these unusual times.",US,2020-12-06
5,"Good nose & facial coverage, pleating is nice, bendable nose wire & easy to breath through","These are nice disposable use face masks. The outer surface is smooth to the touch. These are also nice looking Vs the standard baby blue disposable ones. Depending on your use, environment & exposure you should be able to get more than one use per mask.

Each mask has elastic ear loops (non-adjustable) & a bendable nose wire to help you get a better seal over the bridge of your nose & across the tops of your cheeks & reduce fogging if you wear glasses (breathing through your nose also helps with this). I don't find these difficult to breath through.

Currently these are only 26 cents each (at the time of this review) which I believe is a good value for the fit & function of these disposable face masks.",US,2020-11-29
4,Pretty decent masks,"These days with masks being a necessity it seams like there’s a million different kinds and brands to choose from. I’ve tried quite a few kinds of them now and I’m still searching for that perfect one that offers adequate protection but is still comfortable to wear and breath in.

These cool face masks are thicker than a lot of other ones I’ve come across which is a good thing for protection, but it makes it a bit harder to breath. I didn’t have an issue with gaping on the sides which is a plus, and the ear hooks are decently comfortable as well. Overall these masks arnt a bad choice at all. Are they my holy grail mask? No. But are they better than most others and worth it?
Yes I think they are.",US,2020-12-01
5,"Very discrete, love the design","I have been using the blue paper face mask whenever I go out but I look like I just got out of a surgery. I started to look online to see if there were other options and saw the Viva Naturals Formal Designer Face Masks for Men (50 Pack) and thought I would give it a try.

I really like that the mask are almost similar to the standard light blue ones but they are actually an enhanced version of the standard ones. Not only the color is so much nicer, they also all have a metal nose strip for a better fit. I compared the quality of the Viva Naturals with my standard ones and it is very identical.

Overall, I am very satisfied with those disposable masks and they get a 5 stars from me.",US,2020-12-04
5,Premium mask,"Advertised as men's mask but it works for females too. I have a rather chubby face and this mask fits me very well. The mask strap is super stretchable and I was able to use a mask strap extender to make the fit even better. I wore it all day and the strap did not break or lose its strong elasticity. The mask itself is thick, comfortable and breathable. The fabric did not irritate my face at all. The print looks great, I've gotten compliments the first day I wore it. It passed both the water and fire test. It is one of the better disposable masks I've used so far, definitely top 5. Excellent price. Highly recommended.",US,2020-12-04
5,"Nice masks with a more subtle look - good for professional environments, too. Unisex.","I'm not sure why they are advertising these masks as solely for men, since they're pretty unisex - but they are much nicer looking than your standard baby blue ones. My whole family (all guys except for me) love these, and they're a nice go-to. There's something about the pattern that adds a nice statement and doesn't look so ""hospital"" or ""doctor-like"" when wearing them. I like that there's 50 per pack and they are reasonably comfortable to wear. I hate wearing masks, but at least these look a little less ridiculous and more subtle than many others out there. They get two thumbs up from us!",US,2020-12-13
5,Nice Fashionable Alternative,"Why not make the best out of covering our faces!? I like to have disposables but the plain looking ones are as fun as the reusable, this makes it nice to be able to have a fashionable disposable. I got these for my dad and husband, but I did try it on myself and they are a little big for me. I am a petite person, so I find some kids disposable mask fit me better. I definitely could make do with these it cover from right under my eye ti underneath my chin. Ear loops are perfect and feel like they could still stretch. The design kind of reminds me of a constellation.",US,2020-12-07
5,great quality and cool style,These masks are super cute. A great way to stay safe in a stylish way. These masks are soft and also comfortable. The mask material is gentle on skin and doesn't leave any marks or rashes on skin. The adjustable nose strip is very much flexible and allows to secure the mask snug over the nose. The ear loops has good stretch to it and works great and not irritating behind the ears. The masks seems to be made of very good quality. The packaging was also neat and arrived in good condition.,US,2020-12-07
5,Comfortable!,"I have 3 kids going to school every day and they must wear mask all day long. Comfort and quality are an absolute must! These mask actually fit me (5 ft3in woman) and my 12 year old son just right, they fit my 5 and 7 year old girls fine, I just tie a little knot in each ear loop. These are thicker yet breathable, they bend and stay in place at the nose. The material is comfortable and not at all itchy like other we have tried. I highly recommend these to any smaller sized adult or child.",US,2020-10-07
5,Full coverage.,"These fit great - the type that provide full coverage, and tuck themselves in on the side naturally so that you don't have a lot of air flowing in and out of the sides. They also have the nose piece to help hold them in place. They also seem a little thicker than most disposables.

Mine are blue with a slight design on them. I don't want to be fancy, but these have a pretty mild design and look good overall.

Overall, very good masks.",US,2020-12-04
3,Not comfortable and itches,"I have to say that these masks do protect you well and are of adequate thickness. I must say that they are NOT comfortable, especially around my ears - it hurts as the day progresses due to its tightness. Also, i have slight facial hair, so the mask degrades and very small things come out of it, and that itches my skin and nose very annoyingly (this literally happens within an hour of wear). I cannot continue to wear the mask. It looks nice though. Thanks.",US,2020-12-08
